id,name,network_wikidata_uri,operator_wikidata_uri,city_wikidata_uri,address,totalDocks,availableDocks,latitude,longitude
18,18 - Plaza de Pedro Zerolo,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza de Pedro Zerolo nº 20,",24,9,40.420925,-3.699678
19,19 - Prim,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Prim nº 4,",28,20,40.421862,-3.695498
20A,20A - Banco de España,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Alcalá nº 48,",27,15,40.418808,-3.695247
23,23 - Santo Domingo,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza de Santo Domingo nº 1,",24,6,40.42026,-3.708249
24,24 - Palacio de Oriente,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Carlos III nº 1,",18,12,40.417767,-3.71065
25A,25A - Plaza de Celenque A,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza de Celenque nº 1,",24,6,40.41737,-3.705779
25B,25B - Plaza de Celenque B,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza de Celenque nº 1,",24,13,40.417369,-3.705898
26,26 - Plaza de las Salesas,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza de las Salesas nº 2,",27,15,40.4239,-3.6945
27,27 - Huertas,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Jesús nº 6,",27,15,40.4133,-3.6957
28,28 - Metro Sevilla,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Alcalá nº 28,",18,17,40.41806,-3.698458
29,29 - Marqués de Cubas,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle del Marqués de Cubas nº 25,",23,20,40.416384,-3.695743
30,30 - San Quintín,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Pavía nº 4,",27,8,40.41921,-3.711504
31,31 - Mayor,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Mayor nº 16,",27,18,40.416364,-3.706897
32,32 - Plaza de la Provincia,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza de la Provincia (esquina calle Gerona),",18,17,40.41501,-3.706103
33,33 - Puerta del Sol,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Carretas nº 3,",23,19,40.416587,-3.70333
34,34 - Jacinto Benavente,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza de Jacinto Benavente,",24,3,40.414676,-3.703683
35,35 - Plaza del Cordón,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza del Cordón nº1,",24,18,40.414193,-3.710329
36,36 - Plaza Ramales,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza de Ramales nº1,",24,14,40.4168,-3.71183
37,37 - Plaza de San Francisco,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza de San Francisco,",24,13,40.4108,-3.714113
38,38 - Plaza de los Carros,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Carrera de San Francisco enfrente del nº 2 ,",27,17,40.411359,-3.71159
39,39 - Plaza de la Cebada,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza de la Cebada nº 3,",31,4,40.411274,-3.708834
40,40 - Conde de Romanones,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza del Conde de Romanones nº 2,",18,2,40.413778,-3.704795
41,41 - Metro Antón Martín,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Atocha nº 56,",19,12,40.412205,-3.699115
42,42 - Santa Isabel,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Santa Isabel 32,",27,0,40.410849,-3.698292
43,43 - Jesús y María,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Jesús y María, 38 ,",18,12,40.410039,-3.702471
44,44 - Plaza de Nelson Mandela,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza Nelson Mandela, 44 ,",19,1,40.409791,-3.703864
45,45 - Metro Puerta de Toledo,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Puerta de Toledo 1 ,",19,9,40.406866,-3.711103
46,46 - Ribera de Curtidores,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Ribera de Curtidores nº 28,",27,14,40.405315,-3.707126
47,47 - Renfe/Cercanías Embajadores,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Glorieta de Embajadores, 7 ,",24,11,40.404577,-3.7028
48,48 - Casa de baños Embajadores,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Glorieta de Embajadores nº 7,",24,18,40.405482,-3.702057
49,49 - Casa Encendida,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Ronda de Atocha nº 34,",27,12,40.406053,-3.699277
50,50 - Museo Reina Sofía,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle de Santa Isabel (esquina con plaza del Emperador Carlos V),",24,22,40.408368,-3.693346
51,51 - Ronda de Atocha,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Ronda de Atocha (esquina con Plaza del Emperador Carlos V),",27,24,40.407561,-3.69352
52,52 - Plaza de Santa Ana,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza de Santa Ana nº 10,",15,9,40.414423,-3.700716
53,53 - Plaza de Lavapiés,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plazuela de Ana Diosdado,",24,8,40.408309,-3.700754
54,54 - Metro Tribunal,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Barceló nº 9,",19,15,40.426599,-3.700393
55,55 - Plaza de San Ildefonso,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza de San Ildefonso nº4,",24,3,40.423976,-3.702084
56,56 - Plaza del Carmen,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza del Carmen nº 1,",23,14,40.418419,-3.703241
57,57 - Santa Cruz de Marcenado,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Santa Cruz del Marcenado nº 26,",23,18,40.429566,-3.71263
58,58 - Metro Chueca,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Augusto Figueroa nº 33,",27,7,40.422278,-3.697858
59,59 - Plaza de Juan Pujol,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Espíritu Santo nº 30,",19,4,40.42555,-3.704342
60,60 - Puerta de Alcalá,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza de la Independencia, s/n ,",23,10,40.419752,-3.688398
61,61 - O Donnell - Narváez,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle O Donnell nº 30,",27,24,40.421455,-3.675314
62,62 - Hospital M. Infantil Gregorio Marañón,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle O Donnell nº 48,",27,22,40.421315,-3.672497
63,63 - Hospital Gral. Uni. Gregorio Marañón,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Ibiza nº 64,",23,4,40.417924,-3.670896
65,65 - Parque del Retiro - Calle Antonio Maura,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Antonio Maura nº 13,",24,22,40.416701,-3.689425
67,67 - CaixaForum Madrid,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Almadén 26,",23,23,40.410847,-3.693225
68,68 - Espalter - Ruiz de Alarcón,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Espalter nº 3,",19,11,40.412769,-3.691323
69,69 - Parque del Retiro - Puerta Ángel Caído,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Avenida de Alfonso XII nº 54,",27,8,40.409808,-3.688822
70,70 - Hospital Uni. Infantil Niño Jesús,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Avenida de Menéndez Pelayo nº 63,",27,17,40.415382,-3.677873
71,71 - Plaza del Doctor Laguna,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Doce de Octubre nº 28,",23,5,40.4161,-3.6739
72,72 - Metro Sáinz de Baranda,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Doctor Esquerdo nº 62,",23,7,40.4159,-3.6696
73,73 - Plaza de los Astros,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle de los Astros, nº5 ,",23,9,40.4115,-3.6687
74,74 - Parque Retiro - Jardines Cecilio Rguez,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Avenida de Menéndez Pelayo nº 69,",27,20,40.412063,-3.676589
75,75 - Parque del Retiro - Plaza Mariano Cavia,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Avenida Menéndez pelayo (esquina con calle Poeta Esteban Villegas),",27,9,40.408272,-3.678475
76,"76 - Avenida del Mediterráneo, 19",http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Avenida del Mediterráneo nº 19,",24,4,40.407271,-3.675102
77,77 - Plaza del Conde de Casal,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza del Conde de Casal nº 8,",18,13,40.406478,-3.670713
78,78 - Metro Pacífico,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Cerro de la Plata nº 4,",27,12,40.400637,-3.674524
79,79 - Metro Menéndez Pelayo,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Avenida de Menéndez Pelayo nº 38,",27,8,40.40511,-3.68044
81,81 - Cuesta de Moyano,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Claudio Moyano, nº5 ,",24,0,40.409343,-3.691833
82,82 - Doctor Esquerdo - Metro Conde de Casal,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Lira, nº1 ,",23,1,40.408456,-3.669753
83,83 - Pío Baroja,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Pío Baroja nº8,",23,6,40.4133,-3.674479
84,84 - Biblioteca Pública Elena Fortún,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Doctor Esquerdo nº 191,",23,3,40.403572,-3.672482
85,85 - Parque del Retiro - Puerta de O´Donnell,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Avenida de Menéndez Pelayo, 9,",27,11,40.421314,-3.679891
86,86 - Cibeles,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Paseo del Prado, 1B ,",24,22,40.418652,-3.69335
87,87 - Ayala - Velázquez,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Ayala nº 46,",23,22,40.427736,-3.683257
88,88 - Velázquez-Padilla,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Velázquez, 13 ,",23,21,40.431358,-3.68383
89,89 - Ayala - Conde de Peñalver,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Ayala nº 104,",23,16,40.427258,-3.675202
90,90 - Metro Velázquez,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Goya, 20 ,",27,19,40.425149,-3.683842
91,91 - Hermosilla - General Pardiñas,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Hermosilla nº 71,",23,8,40.426049,-3.678628
92,92 - Claudio Coello - Hermosilla,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Claudio Coello, 43 ,",23,22,40.426294,-3.686546
93,93 - Plaza de Margaret Tatcher,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Goya (esquina calle Marqués de Zurgeña),",23,23,40.425759,-3.689336
94,94 - Estación de tren de Recoletos,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Paseo de Recoletos nº 20,",23,20,40.423215,-3.690756
95,95 - Claudio Coello - Villanueva,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Claudio Coello nº 19,",23,22,40.422543,-3.686929
96,96 - Alcalá - Castelló,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Alcalá nº 111,",27,18,40.422015,-3.682205
97,97 - Metro Príncipe de Vergara,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Avenida Menéndez Pelayo (esquina calle Alcalá),",27,13,40.422536,-3.680256
98,98 - Plaza de Felipe II,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Narváez, 3 ,",24,20,40.424132,-3.675768
99,99 - Alcántara - Hermosilla,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Alcántara, 4 ,",23,5,40.426039,-3.674018
100,100 - Wizink Center,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Goya nº 99,",27,6,40.42478,-3.67384
101,101 - Metro O Donnell,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Jorge Juán, 129 ,",24,18,40.423077,-3.66968
102,102 - Metro Retiro,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Alcalá nº 95,",23,23,40.421185,-3.684232
103,103 - Ortega y Gasset - Serrano,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle José Ortega y Gasset, 6 ,",23,19,40.43053,-3.686744
104,104 - Castellana - Hermosilla,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Paseo de la Castellana nº 4,",23,21,40.42677,-3.68958
105,"105 - Serrano, 46",http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Serrano nº 46,",23,20,40.427083,-3.687542
106B,106B - Plaza de Colón B,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Serrano nº 32,",19,19,40.424776,-3.68789
107,107 - Serrano - Conde de Aranda,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Serrano nº 8,",23,16,40.421561,-3.688384
108,108 - Mártires Concepcionistas - Alcalá,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Mártires Concepcionistas nº 2,",27,18,40.427402,-3.670652
109,109 - Marqués de Salamanca,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle José Ortega y Gasset nº 30,",23,22,40.430124,-3.681452
110,110 - Intercambiador de Moncloa,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Paseo de Moret nº 1,",23,3,40.434745,-3.720102
111A,111A - Metro Moncloa A,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Arcipreste de Hita nº 8,",23,4,40.433603,-3.717525
111B,111B - Metro Moncloa B,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Arcipreste de Hita nº 12,",23,1,40.433913,-3.717743
112,112 - Paseo de Moret - Parque del Oeste,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Paseo Moret, 9 ,",23,17,40.43269,-3.724736
113,113 - Teleférico Madrid - Estación Rosales,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Paseo del Pintor Rosales frente al nº 38,",24,16,40.427538,-3.720726
114,114 - Quintana - Juan Álvarez de Mendizábal,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Quintana nº 13,",23,11,40.427838,-3.717463
115,115 - Ferraz - Templo de Debod,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Paseo de Pintor Rosales (esquina Marqués de Cerralbo),",23,5,40.425315,-3.717052
116A,116A - Plaza de España - Martín de los Heros,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Plaza de España nº16,",18,10,40.423679,-3.713043
116B,116B - Metro Plaza de España,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle de los Reyes, nº10,",18,14,40.423684,-3.71046
117,117 - Altamirano  - Martín de los Heros,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Altamirano nº 24,",23,1,40.43098,-3.71889
118,"118 - OFICINA DEL SER, APR Y BICIREGISTRO",http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Juan Martínez el empeciado (esquina calle Bustamante) ,",23,15,40.400781,-3.688241
119,119 - Méndez Álvaro,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Méndez Álvaro nº 11,",23,18,40.401291,-3.686265
120,120 - Metro Palos de la Frontera,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Palos de la Frontera nº 27,",27,25,40.40309,-3.694825
121,121 - Glorieta de Santa María de la Cabeza,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Paseo de Santa María de la Cabeza nº 58,",27,8,40.401749,-3.698603
122,122 - Santa Engracia - Zurbarán,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Santa Engracia nº 14,",23,18,40.429536,-3.696366
123,123 - Metro Argüelles,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Guzmán el Bueno nº 2,",27,13,40.430646,-3.713341
124,124 - Metro Bilbao,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Manuel Silvela nº 20,",27,2,40.430969,-3.699369
125,125 - Fdez. de la Hoz - Gral. Martínez Campos,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Fernández de la Hoz nº 29,",27,21,40.4353,-3.6948
126,126 - General Álvarez de Castro,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle del General Álvarez de Castro, 6 ,",27,4,40.434598,-3.701804
127,127 - Mercado Municipal de Vallehermoso,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Fernando el Católico nº 19,",27,3,40.433852,-3.708439
128,128 - Metro Islas Filipinas,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle Cea Bermúdez nº 59,",27,20,40.4392,-3.7154
129,129 - Metro Alonso Cano,http://www.wikidata.org/entity/Q17402113,http://www.wikidata.org/entity/Q1094755,http://www.wikidata.org/entity/Q2807,"Calle de José Abascal, 33-35 ,",27,0,40.438387,-3.698235
