NOMBRE PARQUE,wikidata_URI,id_treecount,ESPECIE,UNIDADES 2024
El Capricho Park,https://www.wikidata.org/entity/Q2054035,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Acer campestre,Acer campestre,123
El Capricho Park,https://www.wikidata.org/entity/Q2054035,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Robinia pseudoacacia,Robinia pseudoacacia,99
El Capricho Park,https://www.wikidata.org/entity/Q2054035,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Aesculus hippocastanum,Aesculus hippocastanum,77
El Capricho Park,https://www.wikidata.org/entity/Q2054035,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Otros,Otros,1232
Sabatini Gardens,https://www.wikidata.org/entity/Q2419365,JARDINES DE SABATINI_Cupressus sempervirens,Cupressus sempervirens,85
Sabatini Gardens,https://www.wikidata.org/entity/Q2419365,JARDINES DE SABATINI_Pinus pinea,Pinus pinea,50
Sabatini Gardens,https://www.wikidata.org/entity/Q2419365,JARDINES DE SABATINI_Acer negundo,Acer negundo,26
Sabatini Gardens,https://www.wikidata.org/entity/Q2419365,JARDINES DE SABATINI_Cedrus deodara,Cedrus deodara,21
Sabatini Gardens,https://www.wikidata.org/entity/Q2419365,JARDINES DE SABATINI_Magnolia grandiflora,Magnolia grandiflora,16
Sabatini Gardens,https://www.wikidata.org/entity/Q2419365,JARDINES DE SABATINI_Abies nordmanniana,Abies nordmanniana,8
Sabatini Gardens,https://www.wikidata.org/entity/Q2419365,JARDINES DE SABATINI_Thuja occidentalis,Thuja occidentalis,5
Sabatini Gardens,https://www.wikidata.org/entity/Q2419365,JARDINES DE SABATINI_Acer pseudoplatanus,Acer pseudoplatanus,3
Sabatini Gardens,https://www.wikidata.org/entity/Q2419365,JARDINES DE SABATINI_Cercis siliquastrum,Cercis siliquastrum,1
Sabatini Gardens,https://www.wikidata.org/entity/Q2419365,JARDINES DE SABATINI_Populus alba 'Bolleana',Populus alba 'Bolleana',1
Sabatini Gardens,https://www.wikidata.org/entity/Q2419365,JARDINES DE SABATINI_Ulmus minor,Ulmus minor,1
Plaza de Oriente,https://www.wikidata.org/entity/Q110747914,JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO_Platanus x hispanica,Platanus x hispanica,126
Plaza de Oriente,https://www.wikidata.org/entity/Q110747914,JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO_Ligustrum japonicum,Ligustrum japonicum,38
Plaza de Oriente,https://www.wikidata.org/entity/Q110747914,JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO_Cupressus sempervirens,Cupressus sempervirens,31
Plaza de Oriente,https://www.wikidata.org/entity/Q110747914,JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO_Taxus baccata,Taxus baccata,28
Plaza de Oriente,https://www.wikidata.org/entity/Q110747914,JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO_Magnolia grandiflora,Magnolia grandiflora,9
Plaza de Oriente,https://www.wikidata.org/entity/Q110747914,JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO_Cedrus deodara,Cedrus deodara,8
Plaza de Oriente,https://www.wikidata.org/entity/Q110747914,JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO_Cupressus macrocarpa,Cupressus macrocarpa,6
Plaza de Oriente,https://www.wikidata.org/entity/Q110747914,JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO_Pinus halepensis,Pinus halepensis,1
Dehesa de la Villa Park,https://www.wikidata.org/entity/Q4887686,PARQUE DE LA DEHESA DE LA VILLA_Pinus pinea,Pinus pinea,4769
Dehesa de la Villa Park,https://www.wikidata.org/entity/Q4887686,PARQUE DE LA DEHESA DE LA VILLA_Pinus halepensis,Pinus halepensis,691
Dehesa de la Villa Park,https://www.wikidata.org/entity/Q4887686,PARQUE DE LA DEHESA DE LA VILLA_Prunus dulcis,Prunus dulcis,930
Dehesa de la Villa Park,https://www.wikidata.org/entity/Q4887686,PARQUE DE LA DEHESA DE LA VILLA_Ulmus pumila,Ulmus pumila,362
Dehesa de la Villa Park,https://www.wikidata.org/entity/Q4887686,PARQUE DE LA DEHESA DE LA VILLA_Quercus ilex,Quercus ilex,932
Dehesa de la Villa Park,https://www.wikidata.org/entity/Q4887686,PARQUE DE LA DEHESA DE LA VILLA_Ailanthus altissima,Ailanthus altissima,276
Dehesa de la Villa Park,https://www.wikidata.org/entity/Q4887686,PARQUE DE LA DEHESA DE LA VILLA_Fraxinus angustifolia,Fraxinus angustifolia,207
Dehesa de la Villa Park,https://www.wikidata.org/entity/Q4887686,PARQUE DE LA DEHESA DE LA VILLA_Platanus x hispanica,Platanus x hispanica,139
Dehesa de la Villa Park,https://www.wikidata.org/entity/Q4887686,PARQUE DE LA DEHESA DE LA VILLA_Gleditsia triacanthos,Gleditsia triacanthos,183
Dehesa de la Villa Park,https://www.wikidata.org/entity/Q4887686,PARQUE DE LA DEHESA DE LA VILLA_Celtis australis,Celtis australis,131
Dehesa de la Villa Park,https://www.wikidata.org/entity/Q4887686,PARQUE DE LA DEHESA DE LA VILLA_Otros,Otros,2477
Madrid Río,https://www.wikidata.org/entity/Q6062341,PARQUE MADRID RÍO_Pinus pinea,Pinus pinea,2922
Madrid Río,https://www.wikidata.org/entity/Q6062341,PARQUE MADRID RÍO_Pinus halepensis,Pinus halepensis,2358
Madrid Río,https://www.wikidata.org/entity/Q6062341,PARQUE MADRID RÍO_Platanus x hispanica,Platanus x hispanica,1508
Madrid Río,https://www.wikidata.org/entity/Q6062341,PARQUE MADRID RÍO_Acer x freemanii,Acer x freemanii,596
Madrid Río,https://www.wikidata.org/entity/Q6062341,PARQUE MADRID RÍO_Melia azedarach,Melia azedarach,511
Madrid Río,https://www.wikidata.org/entity/Q6062341,PARQUE MADRID RÍO_Populus nigra,Populus nigra,496
Madrid Río,https://www.wikidata.org/entity/Q6062341,PARQUE MADRID RÍO_Fraxinus angustifolia,Fraxinus angustifolia,476
Madrid Río,https://www.wikidata.org/entity/Q6062341,PARQUE MADRID RÍO_Aesculus hippocastanum,Aesculus hippocastanum,433
Madrid Río,https://www.wikidata.org/entity/Q6062341,PARQUE MADRID RÍO_Celtis australis,Celtis australis,380
Madrid Río,https://www.wikidata.org/entity/Q6062341,PARQUE MADRID RÍO_Ginkgo biloba,Ginkgo biloba,358
Madrid Río,https://www.wikidata.org/entity/Q6062341,PARQUE MADRID RIO_Otros,Otros,4071
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Populus nigra,Populus nigra,2526
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Pinus pinea,Pinus pinea,2457
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Celtis australis,Celtis australis,2247
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Fraxinus angustifolia,Fraxinus angustifolia,914
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Platanus x hispanica,Platanus x hispanica,659
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Olea europaea,Olea europaea,506
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Ulmus sp,Ulmus sp,498
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Cupressus sempervirens,Cupressus sempervirens,405
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Pinus halepensis,Pinus halepensis,277
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Gleditsia triacanthos,Gleditsia triacanthos,263
Manzanares Linear Park,https://www.wikidata.org/entity/Q6062319,PARQUE LINEAL DEL MANZANARES_Otros,Otros,2805
Parque Juan Pablo II,https://www.wikidata.org/entity/Q125465939,PARQUE JUAN PABLO II_Pinus pinea,Pinus pinea,142
Parque Juan Pablo II,https://www.wikidata.org/entity/Q125465939,PARQUE JUAN PABLO II_Aesculus hippocastanum,Aesculus hippocastanum,134
Parque Juan Pablo II,https://www.wikidata.org/entity/Q125465939,PARQUE JUAN PABLO II_Celtis australis,Celtis australis,126
Parque Juan Pablo II,https://www.wikidata.org/entity/Q125465939,PARQUE JUAN PABLO II_Morus alba,Morus alba,125
Parque Juan Pablo II,https://www.wikidata.org/entity/Q125465939,PARQUE JUAN PABLO II_Gleditsia triacanthos,Gleditsia triacanthos,88
Parque Juan Pablo II,https://www.wikidata.org/entity/Q125465939,PARQUE JUAN PABLO II_Prunus dulcis,Prunus dulcis,78
Parque Juan Pablo II,https://www.wikidata.org/entity/Q125465939,PARQUE JUAN PABLO II_Cupressus sempervirens,Cupressus sempervirens,55
Parque Juan Pablo II,https://www.wikidata.org/entity/Q125465939,PARQUE JUAN PABLO II_Liquidambar styraciflua,Liquidambar styraciflua,52
Parque Juan Pablo II,https://www.wikidata.org/entity/Q125465939,PARQUE JUAN PABLO II_Lagerstroemia indica,Lagerstroemia indica,47
Parque Juan Pablo II,https://www.wikidata.org/entity/Q125465939,PARQUE JUAN PABLO II_Punica granatum,Punica granatum,47
Parque Juan Pablo II,https://www.wikidata.org/entity/Q125465939,PARQUE JUAN PABLO II_Otros,Otros,688
Juan Carlos I Park,https://www.wikidata.org/entity/Q1583169,PARQUE JUAN CARLOS I_Olea europaea,Olea europaea,2430
Juan Carlos I Park,https://www.wikidata.org/entity/Q1583169,PARQUE JUAN CARLOS I_Pinus pinea,Pinus pinea,1074
Juan Carlos I Park,https://www.wikidata.org/entity/Q1583169,PARQUE JUAN CARLOS I_Catalpa bignonioides,Catalpa bignonioides,882
Juan Carlos I Park,https://www.wikidata.org/entity/Q1583169,PARQUE JUAN CARLOS I_Styphnolobium japonicum,Styphnolobium japonicum,615
Juan Carlos I Park,https://www.wikidata.org/entity/Q1583169,PARQUE JUAN CARLOS I_Cupressus sempervirens,Cupressus sempervirens,551
Juan Carlos I Park,https://www.wikidata.org/entity/Q1583169,PARQUE JUAN CARLOS I_Fraxinus excelsior,Fraxinus excelsior,512
Juan Carlos I Park,https://www.wikidata.org/entity/Q1583169,PARQUE JUAN CARLOS I_Morus alba,Morus alba,491
Juan Carlos I Park,https://www.wikidata.org/entity/Q1583169,PARQUE JUAN CARLOS I_Platanus x hispanica,Platanus x hispanica,476
Juan Carlos I Park,https://www.wikidata.org/entity/Q1583169,PARQUE JUAN CARLOS I_Gleditsia triacanthos,Gleditsia triacanthos,424
Juan Carlos I Park,https://www.wikidata.org/entity/Q1583169,PARQUE JUAN CARLOS I_Populus alba,Populus alba,356
Juan Carlos I Park,https://www.wikidata.org/entity/Q1583169,PARQUE JUAN CARLOS I_Otros,Otros,6105
Tablas de Daimiel National Park,https://www.wikidata.org/entity/Q1520216,ZONAS VERDES DISTRITO C - LAS TABLAS_Pinus pinea,Pinus pinea,453
Tablas de Daimiel National Park,https://www.wikidata.org/entity/Q1520216,ZONAS VERDES DISTRITO C - LAS TABLAS_Celtis australis,Celtis australis,337
Tablas de Daimiel National Park,https://www.wikidata.org/entity/Q1520216,ZONAS VERDES DISTRITO C - LAS TABLAS_Prunus cerasifera  subsp. pissardii,Prunus cerasifera  subsp. pissardii,156
Tablas de Daimiel National Park,https://www.wikidata.org/entity/Q1520216,ZONAS VERDES DISTRITO C - LAS TABLAS_Melia azedarach,Melia azedarach,111
Tablas de Daimiel National Park,https://www.wikidata.org/entity/Q1520216,ZONAS VERDES DISTRITO C - LAS TABLAS_Pinus nigra,Pinus nigra,89
Tablas de Daimiel National Park,https://www.wikidata.org/entity/Q1520216,ZONAS VERDES DISTRITO C - LAS TABLAS_Koelreuteria paniculata,Koelreuteria paniculata,77
Tablas de Daimiel National Park,https://www.wikidata.org/entity/Q1520216,ZONAS VERDES DISTRITO C - LAS TABLAS_x Cupressocyparis x leylandii,x Cupressocyparis x leylandii,72
Tablas de Daimiel National Park,https://www.wikidata.org/entity/Q1520216,ZONAS VERDES DISTRITO C - LAS TABLAS_Pyrus calleryana 'Chanticleer',Pyrus calleryana 'Chanticleer',72
Tablas de Daimiel National Park,https://www.wikidata.org/entity/Q1520216,ZONAS VERDES DISTRITO C - LAS TABLAS_Liquidambar styraciflua,Liquidambar styraciflua,55
Tablas de Daimiel National Park,https://www.wikidata.org/entity/Q1520216,ZONAS VERDES DISTRITO C - LAS TABLAS_Olea europaea,Olea europaea,49
Tablas de Daimiel National Park,https://www.wikidata.org/entity/Q1520216,ZONAS VERDES DISTRITO C - LAS TABLAS_Otros,Otros,349
Felipe VI Park,https://www.wikidata.org/entity/Q6062702,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Celtis australis,Celtis australis,882
Felipe VI Park,https://www.wikidata.org/entity/Q6062702,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Morus alba 'Fruitless',Morus alba 'Fruitless',412
Felipe VI Park,https://www.wikidata.org/entity/Q6062702,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Koelreuteria paniculata,Koelreuteria paniculata,347
Felipe VI Park,https://www.wikidata.org/entity/Q6062702,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Fraxinus angustifolia,Fraxinus angustifolia,287
Felipe VI Park,https://www.wikidata.org/entity/Q6062702,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Prunus dulcis,Prunus dulcis,258
Felipe VI Park,https://www.wikidata.org/entity/Q6062702,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Olea europaea,Olea europaea,163
Felipe VI Park,https://www.wikidata.org/entity/Q6062702,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Pinus pinea,Pinus pinea,126
Felipe VI Park,https://www.wikidata.org/entity/Q6062702,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Cercis siliquastrum,Cercis siliquastrum,119
Felipe VI Park,https://www.wikidata.org/entity/Q6062702,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Aesculus hippocastanum,Aesculus hippocastanum,112
Felipe VI Park,https://www.wikidata.org/entity/Q6062702,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Pyrus calleryana 'Chanticleer',Pyrus calleryana 'Chanticleer',112
Felipe VI Park,https://www.wikidata.org/entity/Q6062702,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Otros,Otros,1973
Parque Princesa Leonor,https://www.wikidata.org/entity/Q121427375,PARQUE PRINCESA LEONOR_Celtis australis,Celtis australis,327
Parque Princesa Leonor,https://www.wikidata.org/entity/Q121427375,PARQUE PRINCESA LEONOR_Prunus dulcis,Prunus dulcis,244
Parque Princesa Leonor,https://www.wikidata.org/entity/Q121427375,PARQUE PRINCESA LEONOR_Acer campestre,Acer campestre,163
Parque Princesa Leonor,https://www.wikidata.org/entity/Q121427375,PARQUE PRINCESA LEONOR_Olea europaea,Olea europaea,128
Parque Princesa Leonor,https://www.wikidata.org/entity/Q121427375,PARQUE PRINCESA LEONOR_Malus 'Evereste',Malus 'Evereste',120
Parque Princesa Leonor,https://www.wikidata.org/entity/Q121427375,PARQUE PRINCESA LEONOR_Melia azedarach,Melia azedarach,101
Parque Princesa Leonor,https://www.wikidata.org/entity/Q121427375,PARQUE PRINCESA LEONOR_Ziziphus jujuba,Ziziphus jujuba,100
Parque Princesa Leonor,https://www.wikidata.org/entity/Q121427375,PARQUE PRINCESA LEONOR_Populus nigra,Populus nigra,67
Parque Princesa Leonor,https://www.wikidata.org/entity/Q121427375,PARQUE PRINCESA LEONOR_Koelreuteria paniculata,Koelreuteria paniculata,64
Parque Princesa Leonor,https://www.wikidata.org/entity/Q121427375,PARQUE PRINCESA LEONOR_Tilia cordata 'Greenspire',Tilia cordata 'Greenspire',62
Parque Princesa Leonor,https://www.wikidata.org/entity/Q121427375,PARQUE PRINCESA LEONOR_Otros,Otros,579
Cuña Verde de O'Donnell Park,https://www.wikidata.org/entity/Q102341916,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Pinus halepensis,Pinus halepensis,2861
Cuña Verde de O'Donnell Park,https://www.wikidata.org/entity/Q102341916,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Pinus pinea,Pinus pinea,2854
Cuña Verde de O'Donnell Park,https://www.wikidata.org/entity/Q102341916,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Celtis australis,Celtis australis,1260
Cuña Verde de O'Donnell Park,https://www.wikidata.org/entity/Q102341916,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Quercus ilex,Quercus ilex,842
Cuña Verde de O'Donnell Park,https://www.wikidata.org/entity/Q102341916,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Platanus orientalis,Platanus orientalis,634
Cuña Verde de O'Donnell Park,https://www.wikidata.org/entity/Q102341916,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Cedrus deodara,Cedrus deodara,620
Cuña Verde de O'Donnell Park,https://www.wikidata.org/entity/Q102341916,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Ulmus pumila,Ulmus pumila,389
Cuña Verde de O'Donnell Park,https://www.wikidata.org/entity/Q102341916,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Quercus robur,Quercus robur,306
Cuña Verde de O'Donnell Park,https://www.wikidata.org/entity/Q102341916,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Melia azedarach,Melia azedarach,287
Cuña Verde de O'Donnell Park,https://www.wikidata.org/entity/Q102341916,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Cupressus sempervirens,Cupressus sempervirens,253
Cuña Verde de O'Donnell Park,https://www.wikidata.org/entity/Q102341916,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Otros,Otros,3357
Rosaleda Gardens,https://www.wikidata.org/entity/Q16626568,"ROSALEDA DE MADRID ""RAMON ORTIZ""_Cedrus deodara",Cedrus deodara,53
Rosaleda Gardens,https://www.wikidata.org/entity/Q16626568,"ROSALEDA DE MADRID ""RAMON ORTIZ""_Acer negundo",Acer negundo,17
Rosaleda Gardens,https://www.wikidata.org/entity/Q16626568,"ROSALEDA DE MADRID ""RAMON ORTIZ""_Acer campestre",Acer campestre,7
Rosaleda Gardens,https://www.wikidata.org/entity/Q16626568,"ROSALEDA DE MADRID ""RAMON ORTIZ""_Thuja occidentalis",Thuja occidentalis,7
